Distance_cm,Bitrate,Total_Bits,No_BP_Errors,BP_Errors,BER_No_BP,BER_With_BP
40,100,4400.0,88.0,370.0,2.0,8.41
40,200,4400.0,31.0,370.0,0.7,8.41
40,300,4400.0,116.0,542.0,2.64,12.32
70,100,4400.0,1.0,653.0,0.02,14.84
70,200,4400.0,53.0,716.0,1.2,16.27
70,300,4400.0,121.0,535.0,2.75,12.16
100,100,4400.0,792.0,790.0,18.0,17.95
100,200,4400.0,1466.0,617.0,33.32,14.02
100,300,4400.0,253.0,611.0,5.75,13.89
150,100,4400.0,399.0,815.0,9.07,18.52
150,200,4400.0,188.0,363.0,4.27,8.25
150,300,4400.0,900.0,860.0,20.45,19.55
200,100,4400.0,1008.0,2104.0,22.91,47.82
200,200,4400.0,834.0,648.0,18.95,14.73
200,300,4400.0,1367.0,1158.0,31.07,26.32
300,100,4400.0,1951.0,1620.0,44.34,36.82
300,200,4400.0,2999.0,2160.0,68.16,49.09
300,300,4400.0,2097.0,2092.0,47.66,47.55
400,100,4400.0,756.0,815.0,17.18,18.52
400,200,4400.0,2000.0,2042.0,45.45,46.41
400,300,4400.0,2441.0,2461.0,55.48,55.93
500,100,4400.0,1073.0,621.0,24.39,14.11
500,200,4400.0,1561.0,1533.0,35.48,34.84
500,300,4400.0,1871.0,1980.0,42.52,45.0
600,100,4400.0,420.0,363.0,9.55,8.25
600,200,4400.0,910.0,1148.0,20.68,26.09
600,300,4400.0,2171.0,2069.0,49.34,47.02
