Distance_cm,Bitrate,Total_Transmissions,Incomplete_No_BP,Incomplete_BP,Valid_Transmissions_No_BP,Valid_Transmissions_BP,Total_Errors_No_BP,Total_Errors_BP,Total_Bits_No_BP,Total_Bits_BP,BER_No_BP,BER_With_BP
40,100,50,2,0,48,50,0.0,363.0,4224,4400,0.0,8.25
40,200,50,0,0,50,50,2.0,239.0,4400,4400,0.045454545454545456,5.431818181818182
40,300,50,1,0,49,50,9.0,205.0,4312,4400,0.20871985157699444,4.659090909090909
70,100,50,0,0,50,50,1.0,224.0,4400,4400,0.022727272727272728,5.090909090909091
70,200,50,1,0,49,50,119.0,360.0,4312,4400,2.75974025974026,8.181818181818182
70,300,50,0,0,50,50,338.0,440.0,4400,4400,7.681818181818182,10.0
100,100,50,0,0,50,50,119.0,343.0,4400,4400,2.7045454545454546,7.795454545454546
100,200,50,1,0,49,50,386.0,273.0,4312,4400,8.951762523191094,6.204545454545454
100,300,50,1,0,49,50,227.0,685.0,4312,4400,5.264378478664193,15.568181818181817
150,100,50,0,0,50,50,25.0,186.0,4400,4400,0.5681818181818182,4.2272727272727275
150,200,50,1,0,49,50,187.0,369.0,4312,4400,4.336734693877551,8.386363636363637
150,300,50,0,0,50,50,504.0,1018.0,4400,4400,11.454545454545455,23.136363636363637
200,100,50,1,2,49,48,1840.0,2019.0,4312,4224,42.67161410018553,47.79829545454545
200,200,50,0,0,50,50,1974.0,1954.0,4400,4400,44.86363636363636,44.40909090909091
200,300,50,0,2,50,48,2038.0,1915.0,4400,4224,46.31818181818182,45.33617424242424
300,100,50,6,7,44,43,1100.0,1435.0,3872,3784,28.40909090909091,37.922832980972515
300,200,50,6,3,44,47,1646.0,1747.0,3872,4136,42.510330578512395,42.23887814313346
300,300,50,8,12,42,38,1503.0,1242.0,3696,3344,40.66558441558442,37.141148325358856
400,100,51,0,0,51,51,542.0,551.0,4488,4488,12.076648841354725,12.277183600713013
400,200,50,0,0,50,50,875.0,795.0,4400,4400,19.886363636363637,18.06818181818182
400,300,50,0,3,50,47,2148.0,2117.0,4400,4136,48.81818181818181,51.184719535783366
500,100,50,0,1,50,49,362.0,457.0,4400,4312,8.227272727272727,10.598330241187384
500,200,50,0,0,50,50,2169.0,1687.0,4400,4400,49.29545454545455,38.34090909090909
500,300,50,0,0,50,50,2520.0,2547.0,4400,4400,57.27272727272727,57.88636363636363
600,100,50,0,0,50,50,1034.0,1046.0,4400,4400,23.5,23.772727272727273
600,200,50,0,1,50,49,1851.0,2040.0,4400,4312,42.06818181818181,47.30983302411874
600,300,50,0,0,50,50,1000.0,942.0,4400,4400,22.727272727272727,21.409090909090907
