Distance_cm,Bitrate,Total_Bits,No_BP_Errors,BP_Errors,BER_No_BP,BER_With_BP
40,100,4400.0,158.0,332.0,3.59,7.55
40,200,4400.0,61.0,154.0,1.39,3.5
40,300,4400.0,640.0,324.0,14.55,7.36
70,100,4400.0,822.0,894.0,18.68,20.32
70,200,4400.0,875.0,549.0,19.89,12.48
70,300,4400.0,1921.0,1393.0,43.66,31.66
100,100,4400.0,2262.0,3462.0,51.41,78.68
100,200,4400.0,2147.0,2328.0,48.8,52.91
100,300,4400.0,2160.0,2373.0,49.09,53.93
150,100,4400.0,3065.0,1410.0,69.66,32.05
150,200,4400.0,2715.0,1587.0,61.7,36.07
150,300,4400.0,2790.0,1727.0,63.41,39.25
200,100,4400.0,1747.0,1201.0,39.7,27.3
200,200,4400.0,3494.0,2341.0,79.41,53.2
200,300,4400.0,2610.0,2071.0,59.32,47.07
300,100,4400.0,2345.0,2160.0,53.3,49.09
300,200,4400.0,3089.0,2635.0,70.2,59.89
300,300,4400.0,3653.0,2496.0,83.02,56.73
400,100,4400.0,1618.0,1237.0,36.77,28.11
400,200,4400.0,2449.0,2293.0,55.66,52.11
400,300,4400.0,2879.0,2314.0,65.43,52.59
500,100,4400.0,1179.0,871.0,26.8,19.8
500,200,4400.0,1493.0,1727.0,33.93,39.25
500,300,4400.0,2472.0,1835.0,56.18,41.7
600,100,4400.0,2857.0,2651.0,64.93,60.25
600,200,4400.0,3268.0,2708.0,74.27,61.55
600,300,4400.0,3398.0,2745.0,77.23,62.39
