Distance_cm,Bitrate,Total_Transmissions,Incomplete_No_BP,Incomplete_BP,Valid_Transmissions_No_BP,Valid_Transmissions_BP,Total_Errors_No_BP,Total_Errors_BP,Total_Bits_No_BP,Total_Bits_BP,BER_No_BP,BER_With_BP
40,100,50,1,0,49,50,0.0,287.0,4312,4400,0.0,6.522727272727273
40,200,50,0,0,50,50,31.0,289.0,4400,4400,0.7045454545454546,6.568181818181819
40,300,50,0,0,50,50,116.0,396.0,4400,4400,2.6363636363636362,9.0
70,100,50,0,4,50,46,1.0,227.0,4400,4048,0.022727272727272728,5.607707509881423
70,200,50,0,2,50,48,53.0,419.0,4400,4224,1.2045454545454546,9.919507575757576
70,300,50,0,0,50,50,121.0,380.0,4400,4400,2.75,8.636363636363637
100,100,50,0,2,50,48,792.0,614.0,4400,4224,18.0,14.535984848484848
100,200,50,0,1,50,49,1024.0,529.0,4400,4312,23.272727272727273,12.26808905380334
100,300,50,0,0,50,50,253.0,611.0,4400,4400,5.75,13.886363636363635
150,100,50,1,1,49,49,311.0,727.0,4312,4312,7.21243042671614,16.85992578849722
150,200,50,0,1,50,49,188.0,275.0,4400,4312,4.2727272727272725,6.377551020408164
150,300,50,2,1,48,49,724.0,772.0,4224,4312,17.140151515151516,17.90352504638219
200,100,50,5,0,45,50,568.0,2104.0,3960,4400,14.343434343434344,47.81818181818182
200,200,50,2,1,48,49,658.0,560.0,4224,4312,15.577651515151514,12.987012987012985
200,300,50,3,1,47,49,1103.0,1070.0,4136,4312,26.66827852998066,24.81447124304267
300,100,50,1,1,49,49,1399.0,1246.0,4312,4312,32.4443413729128,28.8961038961039
300,200,50,4,1,46,49,1970.0,1784.0,4048,4312,48.66600790513834,41.37291280148423
300,300,50,1,0,49,50,2009.0,2092.0,4312,4400,46.590909090909086,47.54545454545455
400,100,50,2,3,48,47,501.0,478.0,4224,4136,11.860795454545455,11.55705996131528
400,200,50,9,8,41,42,1208.0,1338.0,3608,3696,33.48115299334812,36.201298701298704
400,300,50,5,3,45,47,1965.0,2115.0,3960,4136,49.621212121212125,51.13636363636363
500,100,50,4,0,46,50,721.0,621.0,4048,4400,17.811264822134387,14.113636363636365
500,200,50,2,0,48,50,1385.0,1533.0,4224,4400,32.78882575757576,34.840909090909086
500,300,50,6,0,44,50,1343.0,1980.0,3872,4400,34.6849173553719,45.0
600,100,50,1,1,49,49,332.0,275.0,4312,4312,7.699443413729128,6.377551020408164
600,200,50,0,0,50,50,910.0,1108.0,4400,4400,20.681818181818183,25.181818181818183
600,300,50,4,3,46,47,1819.0,1805.0,4048,4136,44.93577075098814,43.64119922630561
