Distance_cm,Bitrate,Total_Bits,No_BP_Errors,BP_Errors,BER_No_BP,BER_With_BP
40,100,880.0,353.0,264.0,40.11,30.0
70,100,880.0,37.0,134.0,4.2,15.23
100,100,880.0,605.0,644.0,68.75,73.18
150,100,880.0,455.0,473.0,51.7,53.75
200,100,880.0,492.0,284.0,55.91,32.27
300,100,880.0,553.0,761.0,62.84,86.48
400,100,880.0,514.0,461.0,58.41,52.39
500,100,880.0,634.0,168.0,72.05,19.09
600,100,880.0,466.0,434.0,52.95,49.32
