SampleRate,BitRate,Duration,SamplesPerSymbol,ActualBitrate,ActualBitrate
3421.0,100.0,100000.0,34.21,10.0,292.3121894182988
3395.0,100.0,100000.0,33.95,10.0,294.5508100147275
3395.0,100.0,100000.0,33.95,10.0,294.5508100147275
3421.0,100.0,100000.0,34.21,10.0,292.3121894182988
3396.0,100.0,100000.0,33.96,10.0,294.46407538280334
3396.0,100.0,100000.0,33.96,10.0,294.46407538280334
2262.0,150.0,100000.0,15.08,10.0,442.08664898320075
2262.0,150.0,100000.0,15.08,10.0,442.08664898320075
2262.0,150.0,100000.0,15.08,10.0,442.08664898320075
1708.0,200.0,100000.0,8.54,10.0,585.480093676815
1698.0,200.0,100000.0,8.49,10.0,588.9281507656067
1698.0,200.0,100000.0,8.49,10.0,588.9281507656067
1359.0,250.0,100000.0,5.436,10.0,735.8351729212657
1368.0,250.0,100000.0,5.472,10.0,730.9941520467837
1360.0,250.0,100000.0,5.44,10.0,735.2941176470589
1131.0,300.0,100000.0,3.77,10.0,884.1732979664015
1131.0,300.0,100000.0,3.77,10.0,884.1732979664015
1131.0,300.0,100000.0,3.77,10.0,884.1732979664015
968.0,350.0,100000.0,2.7657142857142856,10.0,1033.0578512396694
968.0,350.0,100000.0,2.7657142857142856,10.0,1033.0578512396694
969.0,350.0,100000.0,2.7685714285714287,10.0,1031.9917440660477
849.0,400.0,100000.0,2.1225,10.0,1177.8563015312134
850.0,400.0,100000.0,2.125,10.0,1176.4705882352941
850.0,400.0,100000.0,2.125,10.0,1176.4705882352941
754.0,450.0,100000.0,1.6755555555555555,10.0,1326.2599469496022
754.0,450.0,100000.0,1.6755555555555555,10.0,1326.2599469496022
754.0,450.0,100000.0,1.6755555555555555,10.0,1326.2599469496022
680.0,500.0,100000.0,1.36,10.0,1470.5882352941178
679.0,500.0,100000.0,1.358,10.0,1472.754050073638
680.0,500.0,100000.0,1.36,10.0,1470.5882352941178
3745.0,100.0,110000.0,37.45,9.090909090909092,267.02269692923903
3735.0,100.0,110000.0,37.35,9.090909090909092,267.7376171352075
3745.0,100.0,110000.0,37.45,9.090909090909092,267.02269692923903
2489.0,150.0,110000.0,16.593333333333334,9.090909090909092,401.76777822418643
2489.0,150.0,110000.0,16.593333333333334,9.090909090909092,401.76777822418643
2499.0,150.0,110000.0,16.66,9.090909090909092,400.16006402561027
1878.0,200.0,110000.0,9.39,9.090909090909092,532.4813631522896
1868.0,200.0,110000.0,9.34,9.090909090909092,535.3319057815846
1868.0,200.0,110000.0,9.34,9.090909090909092,535.3319057815846
1495.0,250.0,110000.0,5.98,9.090909090909092,668.8963210702341
1505.0,250.0,110000.0,6.02,9.090909090909092,664.451827242525
1494.0,250.0,110000.0,5.976,9.090909090909092,669.3440428380188
1244.0,300.0,110000.0,4.1466666666666665,9.090909090909092,803.8585209003217
1244.0,300.0,110000.0,4.1466666666666665,9.090909090909092,803.8585209003217
1252.0,300.0,110000.0,4.173333333333333,9.090909090909092,798.7220447284346
1067.0,350.0,110000.0,3.0485714285714285,9.090909090909092,937.207122774133
1067.0,350.0,110000.0,3.0485714285714285,9.090909090909092,937.207122774133
1067.0,350.0,110000.0,3.0485714285714285,9.090909090909092,937.207122774133
934.0,400.0,110000.0,2.335,9.090909090909092,1070.6638115631692
934.0,400.0,110000.0,2.335,9.090909090909092,1070.6638115631692
934.0,400.0,110000.0,2.335,9.090909090909092,1070.6638115631692
829.0,450.0,110000.0,1.8422222222222222,9.090909090909092,1206.2726176115802
830.0,450.0,110000.0,1.8444444444444446,9.090909090909092,1204.8192771084337
830.0,450.0,110000.0,1.8444444444444446,9.090909090909092,1204.8192771084337
748.0,500.0,110000.0,1.496,9.090909090909092,1336.8983957219252
748.0,500.0,110000.0,1.496,9.090909090909092,1336.8983957219252
747.0,500.0,110000.0,1.494,9.090909090909092,1338.6880856760376
4073.0,100.0,120000.0,40.73,8.333333333333334,245.51927326295112
4081.0,100.0,120000.0,40.81,8.333333333333334,245.03798088703752
4074.0,100.0,120000.0,40.74,8.333333333333334,245.45900834560632
2716.0,150.0,120000.0,18.106666666666666,8.333333333333334,368.1885125184095
2725.0,150.0,120000.0,18.166666666666668,8.333333333333334,366.9724770642202
2717.0,150.0,120000.0,18.113333333333333,8.333333333333334,368.05299963194705
2037.0,200.0,120000.0,10.185,8.333333333333334,490.91801669121264
2037.0,200.0,120000.0,10.185,8.333333333333334,490.91801669121264
2037.0,200.0,120000.0,10.185,8.333333333333334,490.91801669121264
1639.0,250.0,120000.0,6.556,8.333333333333334,610.1281269066504
1632.0,250.0,120000.0,6.528,8.333333333333334,612.7450980392157
1630.0,250.0,120000.0,6.52,8.333333333333334,613.4969325153374
1359.0,300.0,120000.0,4.53,8.333333333333334,735.8351729212657
1367.0,300.0,120000.0,4.556666666666667,8.333333333333334,731.528895391368
1360.0,300.0,120000.0,4.533333333333333,8.333333333333334,735.2941176470589
1161.0,350.0,120000.0,3.317142857142857,8.333333333333334,861.3264427217916
1161.0,350.0,120000.0,3.317142857142857,8.333333333333334,861.3264427217916
1161.0,350.0,120000.0,3.317142857142857,8.333333333333334,861.3264427217916
1019.0,400.0,120000.0,2.5475,8.333333333333334,981.3542688910698
1019.0,400.0,120000.0,2.5475,8.333333333333334,981.3542688910698
1019.0,400.0,120000.0,2.5475,8.333333333333334,981.3542688910698
904.0,450.0,120000.0,2.008888888888889,8.333333333333334,1106.1946902654868
904.0,450.0,120000.0,2.008888888888889,8.333333333333334,1106.1946902654868
