SampleRate_Before,SampleRate_After,SamplesPerSymbol,CarrierFrequency,BitRate,MessageLength,Message,MessageBits
291343.03,291309.94,1457,8000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291362.56,291378.69,971,2000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291260.72,291216.59,971,4000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291208.16,290881.19,971,6000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291167.44,291144.53,971,8000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290988.66,291178.44,727,2000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291161.5,290955.62,728,4000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290925.19,290891.31,727,6000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291175.06,291168.28,728,8000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291194.56,291159.81,582,2000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290914.16,291161.5,582,4000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291127.59,291118.28,582,6000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291114.03,290876.94,582,8000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
