SampleRate_Before,SampleRate_After,SamplesPerSymbol,CarrierFrequency,BitRate,MessageLength,Message,MessageBits
,,,,,,,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291180.66,291091.94,2912,2000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291151.25,291179.72,2912,4000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291188.81,291165.25,2912,6000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291156.75,291164.97,2912,8000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291221.53,291160.16,1456,2000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291141.25,291129.03,1456,4000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291200.91,291179.12,1456,6000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291225.09,291251.47,1456,8000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291231.12,291289.81,971,2000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291268.38,291181.94,971,4000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291241.88,291231.12,971,6000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291200.16,291163.28,971,8000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291157.09,291147.94,728,2000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291195.0,291190.25,728,4000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291289.97,291294.22,728,6000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291188.72,291178.97,728,8000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291208.06,291306.53,582,2000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291209.75,291123.53,582,4000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291188.97,291236.03,582,6000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291241.47,291211.44,582,8000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
